gene,expression/ZAM_root_1.txt,expression/ZAM_root_2.txt,expression/ZAM_root_3.txt,expression/ZAM_tip_leaf_1.txt,expression/ZAM_tip_leaf_2.txt,expression/ZAM_tip_leaf_3.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
"ZAM150510-29278,ZAM150510-49926",2.69,25.25,11.8,7.265,1.4,8.29,13.24666667,5.651666667,9.449166667,Cenchrinae,9.266715827,6.552557601,3.035364704,2.146326966
NA, , , , , , ,,,,Andropogoneae, , , , 
"ZAM150510-19399,ZAM150510-19400,ZAM150510-53954",36.36666667,67.36666667,34.36666667,12,9.096666667,9.02,46.03333334,10.03888889,28.03611111,Andropogoneae,15.10702559,10.68228024,1.38706814,0.980805288
"ZAM150510-17757,ZAM150510-46668,ZAM150510-53955,ZAM150510-66244",9.161,10.435,2.241,4.8325,3.3275,3.95525,7.279,4.038416667,5.658708333,Andropogoneae,3.600171477,2.545705665,0.617221608,0.436441585
"ZAM150510-17759,ZAM150510-48086",32.8,43.5,42.9,21.15,22.4,25.25,39.73333333,22.93333333,31.33333333,Andropogoneae,4.908722395,3.470990893,1.715776468,1.213237176
NA, , , , , , ,,,,Andropogoneae, , , , 
NA, , , , , , ,,,,Cenchrinae, , , , 
ZAM150510-57908,5.77,7.07,2.66,9.35,8.15,8.32,5.166666667,8.606666667,6.886666667,,1.850231217,1.30831104,0.530178167,0.374892577
NA, , , , , , ,,,,, , , , 
"ZAM150510-17587,ZAM150510-53492,ZAM150510-41123,ZAM150510-53491",17.30175,13.01,29.0675,17.98,14.745,24.075,19.79308333,18.93333333,19.36320833,Cenchrinae,6.788022927,4.799857043,3.868148423,2.735193981
NA, , , , , , ,,,,, , , , 
"ZAM150510-44355,ZAM150510-57071,ZAM150510-10677,ZAM150510-10676,ZAM150510-21583,ZAM150510-40074,ZAM150510-58910",8.244285714,8.022857143,8.765714286,21.29314286,12.01614286,12.38271429,8.344285714,15.23066667,11.78747619,Cenchrinae,0.311404543,0.220196264,4.289429396,3.033084614
ZAM150510-57071,20.5,16.2,22.3,21.6,20.5,23.7,19.66666667,21.93333333,20.8,Cenchrinae,2.559079696,1.809542606,1.327487183,0.938675189
NA,,,,,,,,,,NA,,,,
ZAM150510-25989,10.5,6.97,10.4,3.94,4.73,3.45,9.29,4.04,6.665,Cenchrinae,1.640995633,1.16035914,0.52732027,0.372871738
"ZAM150510-50551,ZAM150510-44886,ZAM150510-66146",2.158,5.71,2.766666667,4.744,6.341,8.092666667,3.544888889,6.392555556,4.968722222,Cenchrinae,1.550999327,1.096722142,1.367573421,0.96702044
"ZAM150510-15256,ZAM150510-50554,ZAM150510-64003,ZAM150510-59187,ZAM150510-63995,ZAM150510-56678",1.345666667,2.493333333,7.431666667,0.2905,1.894166667,1.08,3.756888889,1.088222222,2.422555556,,2.64036342,1.867018879,0.65471999,0.462956945
"ZAM150510-66805,ZAM150510-32385,ZAM150510-09252,ZAM150510-32393",0.5505,1.225,0.97475,0.4815,0.15875,0.20505,0.91675,0.281766667,0.599258333,Cenchrinae,0.278400865,0.19685914,0.142492049,0.100757094
"ZAM150510-00489,ZAM150510-15272,ZAM150510-41626",18.97,29.36666667,19.7,9.783333333,8.123333333,8.45,22.67888889,8.785555555,15.73222222,,4.738354407,3.350522533,0.718028852,0.50772307
"ZAM150510-47389,ZAM150510-19467",0,0,0,0,0,0,0,0,0,,0,0,0,0
"ZAM150510-24687,ZAM150510-01872",3.7,7.785,15.1,25,36.55,28.4,8.861666667,29.98333333,19.4225,,4.715888628,3.334636828,4.846361751,3.426895258
NA, , , , , , ,,,,Andropogoneae, , , , 
"ZAM150510-02062,ZAM150510-65030",12.1,8.905,5.825,7.29,5.25,6.86,8.943333333,6.466666667,7.705,Cenchrinae,2.561901421,1.811537867,0.878040748,0.620868567
"ZAM150510-36041,ZAM150510-55318,ZAM150510-39537",13.33,12.93033333,130.9633333,1.185333333,2.526666667,1.793333333,52.40788888,1.835111111,27.12149999,Cenchrinae,55.54732709,39.27789166,0.548393299,0.38777262
NA, , , , , , ,,,,Cenchrinae, , , , 
"ZAM150510-39537,ZAM150510-55318,ZAM150510-01297,ZAM150510-36041,ZAM150510-22822,ZAM150510-01442,ZAM150510-36042,ZAM150510-20787,ZAM150510-01292,ZAM150510-54087,ZAM150510-11914",6.363363636,4.740090909,42.17554545,5.508727273,9.578181818,6.290909091,17.75966667,7.125939394,12.44280303,Cenchrinae,17.27734752,12.2169296,1.763154707,1.246738649
"ZAM150510-06895,ZAM150510-23771,ZAM150510-02856",1.19,1.833333333,1.45,1.02,1.116666667,0.49,1.491111111,0.875555556,1.183333333,Cenchrinae,0.264243621,0.186848456,0.275470417,0.194787
"ZAM150510-06895,ZAM150510-02854,ZAM150510-23769,ZAM150510-02855",0.8925,1.375,1.0875,0.765,0.8375,0.3675,1.118333333,0.656666667,0.8875,Cenchrinae,0.198182716,0.140136342,0.206602813,0.14609025
ZAM150510-04741,48.7,59.3,113,19.4,11.9,17.5,73.66666667,16.26666667,44.96666667,Cenchrinae,28.14750828,19.90329398,3.183638729,2.251172534
NA, , , , , , ,,,,Andropogoneae, , , , 
"ZAM150510-56338,ZAM150510-56339",5.505,2.025,0,0,0,0,2.51,0,1.255,Andropogoneae,2.27342253,1.607552487,0,0
"ZAM150510-14570,ZAM150510-56339,ZAM150510-56338",8.136666667,2.496666667,0,0.383333333,0,0.113666667,3.544444445,0.165666667,1.855055556,Andropogoneae,3.403401712,2.406568429,0.160756775,0.113672206
"ZAM150510-56335,ZAM150510-38415",0,0,0,0,0,0,0,0,0,Andropogoneae,0,0,0,0
"ZAM150510-38413,ZAM150510-62213",22.5,28.7,22.2,11.55,12.75,10.24,24.46666667,11.51333333,17.99,Andropogoneae,2.995923156,2.118437579,1.025031165,0.724806488
ZAM150510-62212,33.9,27.7,28.7,21.2,19.3,20.3,30.1,20.26666667,25.18333333,Andropogoneae,2.717842281,1.921804707,0.776029782,0.548735921
ZAM150510-38410,29.7,24,11.1,17.9,11.7,20.5,21.6,16.7,19.15,Andropogoneae,7.780745466,5.501817881,3.69143152,2.61023626
ZAM150510-38409,3.7,0,0,25.6,32.6,12.9,1.233333333,23.7,12.46666667,Andropogoneae,1.744196727,1.233333333,8.153935655,5.765703195
"ZAM150510-38453,ZAM150510-47265",0.5255,0.6515,1.415,0.0635,0.0525,0.0565,0.864,0.0575,0.46075,Andropogoneae,0.392996819,0.277890716,0.004546061,0.00321455
ZAM150510-43527,0,0,0,1.65,0.272,1.47,0,1.130666667,0.565333333,Cenchrinae,0,0,0.611599724,0.432466312
NA, , , , , , ,,,,Cenchrinae, , , , 
"ZAM150510-15760,ZAM150510-08557,ZAM150510-09220,ZAM150510-31450",19.325,15.35,9.525,15.0125,20.53725,17.644,14.73333333,17.73125,16.23229167,Cenchrinae,4.024525507,2.845769277,2.256313374,1.595454487
"ZAM150510-25522,ZAM150510-66127",16.35,41.9,40.65,0.423,0.3495,0.126,32.96666667,0.2995,16.63308333,Cenchrinae,11.76083425,8.31616565,0.126299248,0.089307055
NA, , , , , , ,,,,Chloridoideae, , , , 
ZAM150510-43742,207,339,377,22.7,15.6,30.7,307.6666667,23,165.3333333,Cenchrinae,72.85297218,51.51483066,6.168198008,4.361574639
ZAM150510-13419,39.1,94.1,93.8,33.4,40,25.7,75.66666667,33.03333333,54.35,Cenchrinae,25.85682803,18.28353844,5.843705065,4.132123479
ZAM150510-13421,4.78,5.41,2.09,7.27,12.1,1.96,4.093333333,7.11,5.601666667,Cenchrinae,1.439729913,1.018042785,4.141183406,2.928258868
NA, , , , , , ,,,,Cenchrinae, , , , 
"ZAM150510-63097,ZAM150510-42336,ZAM150510-56912,ZAM150510-21803,ZAM150510-25849",8.7356,7.3984,7.6402,5.233,5.0754,5.3012,7.924733333,5.2032,6.563966667,Cenchrinae,0.581804878,0.411398174,0.094560175,0.066864141
NA, , , , , , ,,,,Andropogoneae, , , , 
"ZAM150510-10713,ZAM150510-07326,ZAM150510-42776",24.04,23.46666667,0,17.25666667,11.27666667,16.63333333,15.83555556,15.05555556,15.44555556,Andropogoneae,11.19987478,7.919507405,2.684168031,1.897993416
NA, , , , , , ,,,,Cenchrinae, , , , 
ZAM150510-44368,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
NA, , , , , , ,,,,Andropogoneae, , , , 
NA, , , , , , ,,,,Andropogoneae, , , , 
"ZAM150510-10714,ZAM150510-42778",174.45,198,204,364.7,353.85,271.95,192.15,330.1666667,261.1583333,Andropogoneae,12.75323488,9.017898868,41.40302592,29.27636039
ZAM150510-18311,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
